Date,Open,High,Low,Close,Volume
14/05/2015 16:56:00,"64,66","65,21","64,65","65,09",4700
15/05/2015 16:56:00,"65,53","65,73","65,53","65,73",340
18/05/2015 16:56:00,66,66,"64,22","64,57",4360
19/05/2015 16:56:00,"64,1","64,1","63,91",64,10800
20/05/2015 16:56:00,"63,9",64,"63,9",64,510
21/05/2015 16:56:00,"63,02","63,05","63,02","63,05",14500
22/05/2015 16:56:00,"62,86","62,86","62,33","62,33",810
25/05/2015 16:56:00,"62,37","62,86","62,37","62,86",280
26/05/2015 16:56:00,"62,16","62,16","61,89","61,89",560
27/05/2015 16:56:00,"61,88","62,42","61,76","62,42",1100
28/05/2015 16:56:00,"61,9","62,14","61,9","62,14",1200
29/05/2015 16:56:00,"61,6","61,77","61,38","61,38",1180
01/06/2015 16:56:00,"61,38","61,38","61,38","61,38",20
