Date;Open;High;Low;Close;Adj Close;Volume
08/04/2013;53.880001;54.700001;53.880001;54.599998;54.599998;3140
09/04/2013;55;55.599998;54.709999;55.32;55.32;6870
10/04/2013;55.32;56.419998;55.32;55.830002;55.830002;12360
11/04/2013;54.98;55.720001;54.98;55;55;41900
12/04/2013;54.73;55.110001;54;54;54;150760
15/04/2013;53.709999;54.299999;53.41;53.450001;53.450001;225400
16/04/2013;52.700001;54.299999;52.700001;54.150002;54.150002;129910
17/04/2013;53.709999;53.790001;52;53.470001;53.470001;56830
18/04/2013;53.34;53.66;53.110001;53.360001;53.360001;6070
19/04/2013;53.360001;53.84;53.009998;53.82;53.82;8330
22/04/2013;53.75;53.950001;52.049999;52.66;52.66;52600
23/04/2013;53.5;54.799999;52.91;54.799999;54.799999;19500
24/04/2013;53.27;55.02;53.02;54.560001;54.560001;93420
25/04/2013;54.560001;55;54.18;54.380001;54.380001;750320
26/04/2013;53.439999;53.439999;53.439999;53.439999;53.439999;0
29/04/2013;53.02;53.880001;53.02;53.5;53.5;6220
30/04/2013;53.400002;55;53.360001;55;55;10430
02/05/2013;54.73;54.790001;53.009998;53.009998;53.009998;9460
03/05/2013;53.200001;55.209999;53.200001;54.709999;54.709999;15070
06/05/2013;54.310001;54.73;53.200001;54.52;54.52;6800
07/05/2013;54.549999;55.509998;54.540001;55.400002;55.400002;3830
08/05/2013;55.400002;55.98;55.400002;55.580002;55.580002;125740
09/05/2013;54.740002;55.990002;54.740002;55.580002;55.580002;18280
10/05/2013;54.52;55.59;54.52;55.470001;55.470001;7870
13/05/2013;55.200001;55.549999;54.009998;54.029999;54.029999;8970
14/05/2013;55.060001;55.849998;54.860001;55.849998;55.849998;6690
15/05/2013;55.200001;55.799999;55.200001;55.360001;55.360001;6550
16/05/2013;55.360001;55.619999;55.130001;55.209999;55.209999;10150
17/05/2013;54.720001;55.77;54.720001;55.599998;55.599998;9360
20/05/2013;54.720001;56.279999;54.720001;54.73;54.73;9810
21/05/2013;54.650002;56.59;54.650002;56.52;56.52;19900
22/05/2013;56.07;57.049999;55.009998;56.549999;56.549999;24000
23/05/2013;54.709999;56.23;54.669998;55;55;86650
24/05/2013;55.02;56.5;55.02;56.490002;56.490002;13450
27/05/2013;55.630001;56.349998;55.02;55.400002;55.400002;9600
28/05/2013;55.209999;56.689999;55.209999;55.720001;55.720001;13430
29/05/2013;55.209999;56;55.18;55.279999;55.279999;5770
31/05/2013;55.049999;55.049999;54.27;54.450001;54.450001;9790
03/06/2013;54.650002;54.700001;54.299999;54.349998;54.349998;3000
04/06/2013;55;55;54;54;54;6850
05/06/2013;53.5;54.450001;53;53;53;8480
06/06/2013;53.349998;53.599998;53.09;53.59;53.59;76500
07/06/2013;53.16;53.669998;53;53;53;4350
10/06/2013;52.41;53.25;52.290001;52.950001;52.950001;27940
11/06/2013;51.349998;52.07;50;51;51;6660
12/06/2013;51.560001;51.75;50.779999;51.25;51.25;48960
13/06/2013;50.029999;51.490002;50.029999;51.360001;51.360001;50530
14/06/2013;51;51.82;50.650002;50.900002;50.900002;11170
17/06/2013;50.009998;51.669998;50.009998;51.349998;51.349998;30080
18/06/2013;51.099998;51.509998;50.860001;51.509998;51.509998;31990
19/06/2013;51.18;51.459999;50.330002;50.389999;50.389999;40800
