Date,Close
26/04/2013,"54252,04"
29/04/2013,"54887,25"
30/04/2013,"55910,37"
02/05/2013,"55321,93"
03/05/2013,"55488,08"
06/05/2013,"55429,88"
07/05/2013,"56274,66"
08/05/2013,"55804,8"
09/05/2013,"55447,56"
10/05/2013,"55107,8"
13/05/2013,"54447,77"
14/05/2013,"54666,82"
15/05/2013,"54936,41"
16/05/2013,"54772,62"
17/05/2013,"55164,27"
20/05/2013,"55700,77"
21/05/2013,"56265,32"
22/05/2013,"56429,27"
23/05/2013,"56349,91"
24/05/2013,"56406,21"
27/05/2013,"56395,94"
28/05/2013,"56036,26"
29/05/2013,"54634,69"
31/05/2013,"53506,08"
03/06/2013,"53944,36"
04/06/2013,"54017,9"
05/06/2013,"52798,63"
06/06/2013,"52884,83"
07/06/2013,"51618,63"
10/06/2013,"51316,65"
11/06/2013,"49769,93"
12/06/2013,"49180,58"
13/06/2013,"50414,89"
14/06/2013,"49332,34"
17/06/2013,"49088,65"
18/06/2013,"49464,94"
19/06/2013,"47893,06"
20/06/2013,"48214,43"
21/06/2013,"47056,04"
24/06/2013,"45965,05"
25/06/2013,"46893,04"
26/06/2013,"47171,98"
27/06/2013,"47609,46"
28/06/2013,"47457,13"
01/07/2013,"47229,59"
02/07/2013,"45228,95"
03/07/2013,"45044,03"
04/07/2013,"45763,16"
05/07/2013,"45210,49"
08/07/2013,"45075,5"
10/07/2013,"45483,43"
11/07/2013,"46626,26"
12/07/2013,"45533,24"
15/07/2013,"46738,9"
16/07/2013,"46869,29"
17/07/2013,"47407,31"
18/07/2013,"47656,92"
19/07/2013,"47400,23"
22/07/2013,"48574,09"
23/07/2013,"48819,52"
24/07/2013,"48374,23"
25/07/2013,"49066,75"
26/07/2013,"49422,05"
29/07/2013,"49212,33"
30/07/2013,"48561,78"
31/07/2013,"48234,49"
01/08/2013,"49140,78"
02/08/2013,"48474,04"
05/08/2013,"48436,44"
06/08/2013,"47421,85"
07/08/2013,"47446,71"
08/08/2013,"48928,82"
09/08/2013,"49874,9"
12/08/2013,"50299,49"
13/08/2013,"50600,55"
14/08/2013,"50895,92"
15/08/2013,"50908,34"
16/08/2013,"51538,78"
19/08/2013,"51574,09"
20/08/2013,"50507,02"
21/08/2013,"50405,2"
22/08/2013,"51397,66"
23/08/2013,"52197,06"
26/08/2013,"51429,48"
27/08/2013,"50091,55"
28/08/2013,"49866,92"
29/08/2013,"49921,88"
30/08/2013,"50008,38"
02/09/2013,"51835,15"
03/09/2013,"51625,5"
04/09/2013,"51716,16"
05/09/2013,"52351,86"
06/09/2013,"53749,42"
09/09/2013,"54251,85"
10/09/2013,"53979,03"
11/09/2013,"53570,46"
12/09/2013,"53307,09"
13/09/2013,"53797,51"
16/09/2013,"53821,63"
17/09/2013,"54271,25"
18/09/2013,"55702,9"
19/09/2013,"55095,69"
20/09/2013,"54110,03"
23/09/2013,"54602,38"
24/09/2013,"54431,05"
25/09/2013,"54261,11"
26/09/2013,"53782,97"
27/09/2013,"53738,92"
30/09/2013,"52338,19"
01/10/2013,"53179,46"
02/10/2013,"53100,18"
03/10/2013,"52489,86"
04/10/2013,"52848,97"
07/10/2013,"52417,1"
08/10/2013,"52312,44"
09/10/2013,"52547,71"
10/10/2013,"52996,64"
11/10/2013,"53149,62"
14/10/2013,"54170,6"
15/10/2013,"54980,64"
16/10/2013,"55973,03"
17/10/2013,"55358,13"
18/10/2013,"55378,46"
21/10/2013,"56077,43"
22/10/2013,"56460,38"
23/10/2013,"55440,03"
24/10/2013,"54877,15"
25/10/2013,"54154,15"
28/10/2013,"55073,37"
29/10/2013,"54538,8"
30/10/2013,"54172,82"
31/10/2013,"54256,2"
01/11/2013,"54013,24"
04/11/2013,"54436,92"
05/11/2013,"53831,85"
06/11/2013,"53384,6"
07/11/2013,"52740,79"
08/11/2013,"52248,86"
11/11/2013,"52623,87"
